frequency,velocity,gain
932.33,1.0,0.6200
987.77,0.2,0.1175
987.77,0.4,0.2400
987.77,0.6,0.3600
987.77,0.8,0.4800
987.77,1.0,0.6800
1046.5,0.2,0.1100
1046.5,0.4,0.2400
1046.5,0.6,0.3600
1046.5,0.8,0.4800
1046.5,1.0,0.6800
