frequency,velocity,strike,bowVelocity,bowPosition,bowPressure,gain
440.0,0.1,2.0,0.15,0.14,0.61,0.1
440.0,0.4,0.0,0.6,0.32,0.25,0.32
440.0,0.4,1.0,0.22,0.17,0.27,0.32
440.0,0.4,2.0,0.15,0.14,0.72,0.4
440.0,0.7,0.0,0.6,0.32,0.25,0.75
440.0,0.7,1.0,0.235,0.17,0.28,0.75
440.0,0.7,2.0,0.15,0.14,0.74,0.75
440.0,1.0,0.0,0.6,0.32,0.25,1.0
440.0,1.0,1.0,0.25,0.17,0.3,1.0
440.0,1.0,2.0,0.15,0.2,0.75,1.0
493.9,0.1,0.0,0.6,0.32,0.2,0.1
493.9,0.1,1.0,0.25,0.17,0.2,0.1
493.9,0.1,2.0,0.15,0.14,0.71,0.1
493.9,0.4,0.0,0.6,0.32,0.25,0.32
493.9,0.4,1.0,0.2,0.17,0.27,0.32
493.9,0.4,2.0,0.15,0.14,0.72,0.4
493.9,0.7,0.0,0.6,0.32,0.25,0.75
493.9,0.7,1.0,0.235,0.17,0.28,0.75
493.9,0.7,2.0,0.15,0.14,0.67,0.75
493.9,1.0,0.0,0.6,0.32,0.25,1.0
493.9,1.0,1.0,0.25,0.17,0.3,1.0
493.9,1.0,2.0,0.15,0.14,0.75,1.0
523.3,0.1,0.0,0.6,0.32,0.2,0.1
523.3,0.1,1.0,0.25,0.17,0.2,0.1
523.3,0.1,2.0,0.15,0.14,0.61,0.1
523.3,0.4,0.0,0.6,0.32,0.25,0.32
523.3,0.4,1.0,0.22,0.17,0.27,0.32
523.3,0.4,2.0,0.15,0.14,0.62,0.4
523.3,0.7,0.0,0.6,0.32,0.25,0.75
523.3,0.7,1.0,0.235,0.17,0.28,0.75
523.3,0.7,2.0,0.15,0.14,0.54,0.75
523.3,1.0,0.0,0.6,0.32,0.25,1.0
523.3,1.0,1.0,0.25,0.17,0.3,1.0
523.3,1.0,2.0,0.15,0.14,0.65,1.0
587.3,0.1,0.0,0.6,0.32,0.2,0.1
587.3,0.1,1.0,0.25,0.17,0.2,0.1
587.3,0.1,2.0,0.15,0.14,0.51,0.1
587.3,0.4,0.0,0.6,0.32,0.25,0.32
587.3,0.4,1.0,0.22,0.17,0.27,0.32
587.3,0.4,2.0,0.15,0.14,0.62,0.4
587.3,0.7,0.0,0.6,0.32,0.25,0.75
587.3,0.7,1.0,0.235,0.17,0.28,0.75
587.3,0.7,2.0,0.15,0.14,0.64,0.75
587.3,1.0,0.0,0.6,0.32,0.25,1.0
587.3,1.0,1.0,0.25,0.17,0.3,1.0
587.3,1.0,2.0,0.15,0.14,0.65,1.0
659.3,0.1,0.0,0.6,0.32,0.2,0.1
659.3,0.1,1.0,0.25,0.17,0.2,0.1
659.3,0.1,2.0,0.15,0.14,0.61,0.1
659.3,0.4,0.0,0.6,0.32,0.25,0.32
659.3,0.4,1.0,0.22,0.17,0.27,0.32
