frequency,velocity,gain,calibration
587.33,1.0,0.8932,34.98
622.25,0.2,0.0428,70.67
622.25,0.4,0.1377,70.67
622.25,0.6,0.3048,70.67
622.25,0.8,0.547,70.67
622.25,1.0,0.8077,70.67
659.26,0.2,0.038,52.73
659.26,0.4,0.1231,52.73
659.26,0.6,0.3048,52.73
659.26,0.8,0.547,52.73
659.26,1.0,0.7404,52.73
698.46,0.2,0.0412,52.73
698.46,0.4,0.1496,52.73
698.46,0.6,0.3053,52.73
698.46,0.8,0.5451,52.73
698.46,1.0,0.8077,52.73
739.99,0.2,0.0497,52.73
739.99,0.4,0.1861,52.73
739.99,0.6,0.3846,52.73
739.99,0.8,0.591,52.73
739.99,1.0,1.0,52.73
783.99,0.2,0.0433,88.8
783.99,0.4,0.1496,88.8
783.99,0.6,0.3214,88.8
783.99,0.8,0.6056,88.8
783.99,1.0,0.8769,88.8
830.61,0.2,0.043,52.73
830.61,0.4,0.1424,52.73
830.61,0.6,0.3009,52.73
830.61,0.8,0.5978,52.73
830.61,1.0,0.8462,52.73
880.0,0.2,0.033,70.67
880.0,0.4,0.1132,70.67
880.0,0.6,0.2525,70.67
880.0,0.8,0.465,70.67
880.0,1.0,0.6538,70.67
