frequency,calibration,freq_nudge
80,17.4,-0.543625
130,17.4,-0.430000
140,17.4,-0.100714
165,17.4,0.050909
196,17.4,0.224450
220,17.4,0.390206
261,17.4,0.638000
293,17.4,0.811000
330,34.98,-0.620606
392,34.98,-0.362245
440,52.73,-1.188000
587,34.98,0.145300
600,70.67,-0.781000
659,52.73,-0.254800
660,52.73,-0.248100
