frequency,amplitude,velocity,gain
40,0.0,0.6,0.70
40,0.5,0.8,0.80
40,1.0,1.0,0.90
110,0.0,0.6,0.70
110,0.5,0.8,0.85
110,1.0,1.0,0.95
200,0.0,0.6,0.70
200,0.5,0.8,0.85
200,1.0,1.0,0.95
400,0.0,0.6,0.70
400,0.5,0.8,0.85
400,1.0,1.0,0.95
