frequency,calibration,freq_nudge
41.2,0,0.227427
55,0,0.170909
65.41,0,0.243235
82.41,0,0.300449
110,0,0.306364
146.83,0,0.441327
196,0,0.606633
246.94,0,0.755649
293.66,0,0.921133
329.63,0,1.023269
392,0,1.200255
