frequency,velocity,gain,calibration
349.23,0.8,0.0006,0.0
349.23,1.0,0.0009,0.0
369.99,0.2,0.0001,0.0
369.99,0.4,0.0002,0.0
369.99,0.6,0.0004,0.0
369.99,0.8,0.0006,0.0
369.99,1.0,0.0009,0.0
392.0,0.2,0.0001,0.0
392.0,0.4,0.0002,0.0
392.0,0.6,0.0004,0.0
392.0,0.8,0.0006,0.0
392.0,1.0,0.0009,0.0
415.3,0.2,0.0001,0.0
415.3,0.4,0.0002,0.0
415.3,0.6,0.0004,0.0
415.3,0.8,0.0006,0.0
415.3,1.0,0.0009,0.0
440.0,0.2,0.0001,0.0
440.0,0.4,0.0002,0.0
440.0,0.6,0.0004,0.0
440.0,0.8,0.0006,0.0
440.0,1.0,0.0008,0.0
466.16,0.2,0.0001,0.0
466.16,0.4,0.0002,0.0
466.16,0.6,0.0004,0.0
466.16,0.8,0.0006,0.0
466.16,1.0,0.0009,0.0
493.88,0.2,0.0001,0.0
493.88,0.4,0.0003,0.0
493.88,0.6,0.0005,0.0
493.88,0.8,0.0008,0.0
493.88,1.0,0.0011,0.0
523.25,0.2,0.0001,0.0
523.25,0.4,0.0003,0.0
523.25,0.6,0.0005,0.0
523.25,0.8,0.0008,0.0
523.25,1.0,0.0012,0.0
554.37,0.2,0.0001,0.0
554.37,0.4,0.0003,0.0
554.37,0.6,0.0006,0.0
554.37,0.8,0.0009,0.0
554.37,1.0,0.0013,0.0
587.33,0.2,0.0002,0.0
587.33,0.4,0.0004,0.0
587.33,0.6,0.0006,0.0
587.33,0.8,0.0011,0.0
587.33,1.0,0.0015,0.0
622.25,0.2,0.0002,0.0
622.25,0.4,0.0004,0.0
622.25,0.6,0.0006,0.0
622.25,0.8,0.001,0.0
622.25,1.0,0.0014,0.0
659.26,0.2,0.0002,0.0
659.26,0.4,0.0004,0.0
659.26,0.6,0.0007,0.0
659.26,0.8,0.0011,0.0
659.26,1.0,0.0016,0.0
698.46,0.2,0.0002,0.0
698.46,0.4,0.0004,0.0
698.46,0.6,0.0008,0.0
698.46,0.8,0.0012,0.0
698.46,1.0,0.0019,0.0
739.99,0.2,0.0002,0.0
739.99,0.4,0.0005,0.0
739.99,0.6,0.0008,0.0
739.99,0.8,0.0011,0.0
739.99,1.0,0.0019,0.0
783.99,0.2,0.0002,0.0
783.99,0.4,0.0005,0.0
783.99,0.6,0.0008,0.0
783.99,0.8,0.0013,0.0
783.99,1.0,0.0024,0.0
830.61,0.2,0.0003,0.0
830.61,0.4,0.0005,0.0
830.61,0.6,0.0008,0.0
830.61,0.8,0.0013,0.0
830.61,1.0,0.0025,0.0
880.0,0.2,0.0003,0.0
880.0,0.4,0.0006,0.0
880.0,0.6,0.001,0.0
880.0,0.8,0.0018,0.0
880.0,1.0,0.0031,0.0
932.33,0.2,0.0003,0.0
932.33,0.4,0.0006,0.0
932.33,0.6,0.0011,0.0
932.33,0.8,0.0016,0.0
932.33,1.0,0.0034,0.0
987.77,0.2,0.0003,0.0
987.77,0.4,0.0007,0.0
987.77,0.6,0.0012,0.0
987.77,0.8,0.002,0.0
987.77,1.0,0.0055,0.0
1046.5,0.2,0.0004,0.0
1046.5,0.4,0.0009,0.0
1046.5,0.6,0.0015,0.0
1046.5,0.8,0.003,0.0
1046.5,1.0,0.0071,0.0
1108.73,0.2,0.0004,0.0
1108.73,0.4,0.0009,0.0
1108.73,0.6,0.0017,0.0
1108.73,0.8,0.0033,0.0
1108.73,1.0,0.0089,0.0
1174.66,0.2,0.002,0.0
1174.66,0.4,0.0041,0.0
1174.66,0.6,0.0058,0.0
1174.66,0.8,0.01,0.0
1174.66,1.0,0.0117,0.0
1244.51,0.2,0.0006,0.0
1244.51,0.4,0.0012,0.0
1244.51,0.6,0.0024,0.0
1244.51,0.8,0.0048,0.0
1244.51,1.0,0.0283,0.0
1318.51,0.2,0.0007,0.0
1318.51,0.4,0.0015,0.0
1318.51,0.6,0.0028,0.0
1318.51,0.8,0.0056,0.0
1318.51,1.0,0.0563,0.0
1396.91,0.2,0.001,0.0
1396.91,0.4,0.0022,0.0
1396.91,0.6,0.0038,0.0
1396.91,0.8,0.0095,0.0
1396.91,1.0,0.1927,0.0
1479.98,0.2,0.0012,0.0
1479.98,0.4,0.0028,0.0
1479.98,0.6,0.0048,0.0
1479.98,0.8,0.0192,0.0
1479.98,1.0,0.1927,0.0
1567.98,0.2,0.002,0.0
1567.98,0.4,0.004,0.0
1567.98,0.6,0.0096,0.0
1567.98,0.8,0.0384,0.0
1567.98,1.0,0.335,0.0
1661.22,0.2,0.0,0.0
1661.22,0.4,0.0,0.0
1661.22,0.6,0.0,0.0
1661.22,0.8,0.0,0.0
1661.22,1.0,1.0,0.0
1760.0,0.2,0.0045,0.0
1760.0,0.4,0.0096,0.0
1760.0,0.6,0.0237,0.0
1760.0,0.8,0.1601,0.0
1760.0,1.0,0.6265,0.0
1864.66,0.2,0.0092,0.0
1864.66,0.4,0.0197,0.0
1864.66,0.6,0.0629,0.0
1864.66,0.8,0.3147,0.0
1864.66,1.0,0.4772,0.0
1975.53,0.2,0.0013,0.0
1975.53,0.4,0.0025,0.0
1975.53,0.6,0.0042,0.0
1975.53,0.8,0.0058,0.0
1975.53,1.0,1.0,0.0
