frequency,velocity,gain,pressure,mouthPosition,breathiness,buzzIntensity,buzzFrequency
1567.98,0.8,0.80,0.67,0.45,0.02,0.58,2200
1567.98,1.0,1.00,0.67,0.45,0.02,0.58,2200
1760.00,0.1,0.15,0.58,0.44,0.02,0.60,2200
1760.00,0.2,0.25,0.60,0.44,0.02,0.60,2200
1760.00,0.5,0.55,0.63,0.44,0.02,0.60,2200
1760.00,0.8,0.80,0.65,0.44,0.02,0.60,2200
1760.00,1.0,1.00,0.65,0.44,0.02,0.60,2200
1864.66,0.1,0.15,0.55,0.43,0.02,0.60,2200
1864.66,0.2,0.25,0.58,0.43,0.02,0.60,2200
1864.66,0.5,0.55,0.60,0.43,0.02,0.60,2200
1864.66,0.8,0.75,0.62,0.43,0.02,0.60,2200
1864.66,1.0,1.00,0.62,0.43,0.02,0.60,2200
